demand,Month,Date,Year,Time,City
4040.0,7,6,2018,20:00,san diego
3953.0,7,6,2018,21:00,san diego
3788.0,7,6,2018,22:00,san diego
3419.0,7,6,2018,23:00,san diego
3058.0,7,7,2018,0:00,san diego
2804.0,7,7,2018,1:00,san diego
2584.0,7,7,2018,2:00,san diego
2435.0,7,7,2018,3:00,san diego
2337.0,7,7,2018,4:00,san diego
2290.0,7,7,2018,5:00,san diego
2287.0,7,7,2018,6:00,san diego
2243.0,7,7,2018,7:00,san diego
2309.0,7,7,2018,8:00,san diego
2479.0,7,7,2018,9:00,san diego
2692.0,7,7,2018,10:00,san diego
2893.0,7,7,2018,11:00,san diego
3063.0,7,7,2018,12:00,san diego
3288.0,7,7,2018,13:00,san diego
3408.0,7,7,2018,14:00,san diego
3489.0,7,7,2018,15:00,san diego
3533.0,7,7,2018,16:00,san diego
3611.0,7,7,2018,17:00,san diego
3742.0,7,7,2018,18:00,san diego
3839.0,7,7,2018,19:00,san diego
3786.0,7,7,2018,20:00,san diego
3769.0,7,7,2018,21:00,san diego
3630.0,7,7,2018,22:00,san diego
3343.0,7,7,2018,23:00,san diego
3040.0,7,8,2018,0:00,san diego
2795.0,7,8,2018,1:00,san diego
2639.0,7,8,2018,2:00,san diego
2464.0,7,8,2018,3:00,san diego
2359.0,7,8,2018,4:00,san diego
2285.0,7,8,2018,5:00,san diego
2233.0,7,8,2018,6:00,san diego
2173.0,7,8,2018,7:00,san diego
2236.0,7,8,2018,8:00,san diego
2369.0,7,8,2018,9:00,san diego
2559.0,7,8,2018,10:00,san diego
2738.0,7,8,2018,11:00,san diego
2855.0,7,8,2018,12:00,san diego
2992.0,7,8,2018,13:00,san diego
3259.0,7,8,2018,14:00,san diego
3414.0,7,8,2018,15:00,san diego
3483.0,7,8,2018,16:00,san diego
3545.0,7,8,2018,17:00,san diego
3615.0,7,8,2018,18:00,san diego
3738.0,7,8,2018,19:00,san diego
3727.0,7,8,2018,20:00,san diego
3716.0,7,8,2018,21:00,san diego
3547.0,7,8,2018,22:00,san diego
3228.0,7,8,2018,23:00,san diego
2883.0,7,9,2018,0:00,san diego
2659.0,7,9,2018,1:00,san diego
2474.0,7,9,2018,2:00,san diego
2360.0,7,9,2018,3:00,san diego
2289.0,7,9,2018,4:00,san diego
2317.0,7,9,2018,5:00,san diego
2449.0,7,9,2018,6:00,san diego
2590.0,7,9,2018,7:00,san diego
2780.0,7,9,2018,8:00,san diego
2884.0,7,9,2018,9:00,san diego
2982.0,7,9,2018,10:00,san diego
3070.0,7,9,2018,11:00,san diego
3085.0,7,9,2018,12:00,san diego
3222.0,7,9,2018,13:00,san diego
3224.0,7,9,2018,14:00,san diego
3381.0,7,9,2018,15:00,san diego
3381.0,7,9,2018,16:00,san diego
3448.0,7,9,2018,17:00,san diego
3580.0,7,9,2018,18:00,san diego
3671.0,7,9,2018,19:00,san diego
3634.0,7,9,2018,20:00,san diego
3622.0,7,9,2018,21:00,san diego
3448.0,7,9,2018,22:00,san diego
3130.0,7,9,2018,23:00,san diego
2797.0,7,10,2018,0:00,san diego
2622.0,7,10,2018,1:00,san diego
2464.0,7,10,2018,2:00,san diego
2350.0,7,10,2018,3:00,san diego
2301.0,7,10,2018,4:00,san diego
2309.0,7,10,2018,5:00,san diego
2425.0,7,10,2018,6:00,san diego
2579.0,7,10,2018,7:00,san diego
2768.0,7,10,2018,8:00,san diego
2911.0,7,10,2018,9:00,san diego
3016.0,7,10,2018,10:00,san diego
3041.0,7,10,2018,11:00,san diego
2968.0,7,10,2018,12:00,san diego
2984.0,7,10,2018,13:00,san diego
3102.0,7,10,2018,14:00,san diego
3091.0,7,10,2018,15:00,san diego
3141.0,7,10,2018,16:00,san diego
3096.0,7,10,2018,17:00,san diego
3138.0,7,10,2018,18:00,san diego
3242.0,7,10,2018,19:00,san diego
3243.0,7,10,2018,20:00,san diego
3312.0,7,10,2018,21:00,san diego
3208.0,7,10,2018,22:00,san diego
2916.0,7,10,2018,23:00,san diego
2646.0,7,11,2018,0:00,san diego
2435.0,7,11,2018,1:00,san diego
2292.0,7,11,2018,2:00,san diego
2240.0,7,11,2018,3:00,san diego
2182.0,7,11,2018,4:00,san diego
2168.0,7,11,2018,5:00,san diego
2277.0,7,11,2018,6:00,san diego
2353.0,7,11,2018,7:00,san diego
2409.0,7,11,2018,8:00,san diego
2481.0,7,11,2018,9:00,san diego
2495.0,7,11,2018,10:00,san diego
2646.0,7,11,2018,11:00,san diego
2759.0,7,11,2018,12:00,san diego
2847.0,7,11,2018,13:00,san diego
2910.0,7,11,2018,14:00,san diego
3004.0,7,11,2018,15:00,san diego
3114.0,7,11,2018,16:00,san diego
3277.0,7,11,2018,17:00,san diego
3430.0,7,11,2018,18:00,san diego
3498.0,7,11,2018,19:00,san diego
3414.0,7,11,2018,20:00,san diego
3422.0,7,11,2018,21:00,san diego
3271.0,7,11,2018,22:00,san diego
2963.0,7,11,2018,23:00,san diego
2663.0,7,12,2018,0:00,san diego
